season,version,episode_number_overall,episode,episode_label,episode_date,viewers,imdb_rating,n_ratings
3,UK,36,10,Ep 10,2023-11-25,NA,7.6,5
3,US,37,9,Ep 9,2001-12-06,19280000,7.6,131
2,AU,37,11,Ep 11,2017-08-28,575000,7.8,27
3,SA,37,11,Ep 11,2010-03-31,NA,NA,NA
3,UK,37,11,Ep 11,2023-12-02,NA,7.6,5
3,US,38,10,Ep 10,2001-12-13,18390000,7.5,132
2,AU,38,12,Ep 12,2017-09-03,574000,8.3,27
3,SA,38,12,Ep 12,2010-04-07,NA,NA,NA
3,UK,38,12,Ep 12,2023-12-02,NA,7.6,5
3,US,39,11,Ep 11,2001-12-20,19600000,7.3,133
2,AU,39,13,Ep 13,2017-09-04,617000,8.3,28
3,SA,39,13,Ep 13,2010-04-14,NA,NA,NA
3,UK,39,13,Ep 13,2023-12-09,NA,7,5
3,US,40,12,Ep 12,2001-12-27,18920000,7.3,130
2,AU,40,14,Ep 14,2017-09-10,603000,8.3,28
3,SA,40,14,Finale,2010-04-21,NA,NA,NA
3,UK,40,14,Ep 14,2023-12-02,NA,8,6
3,US,41,13,Ep 13,2002-01-03,21310000,7.1,133
2,AU,41,15,Ep 15,2017-09-11,595000,8.1,28
4,SA,41,1,Ep 1,2011-02-24,NA,NA,NA
3,UK,41,15,Ep 15,2023-12-02,NA,7.3,7
3,US,42,14,Finale,2002-01-10,27260000,7.7,128
2,AU,42,16,Ep 16,2017-09-17,567000,8.3,27
4,SA,42,2,Ep 2,2011-03-03,NA,NA,NA
3,UK,42,16,Finale,2023-12-09,NA,6.9,8
4,US,43,1,Ep 1,2002-02-28,23190000,7.4,138
2,AU,43,17,Ep 17,2017-09-18,559000,8.5,27
4,SA,43,3,Ep 3,2011-03-10,NA,NA,NA
4,US,44,2,Ep 2,2002-03-07,23400000,7.8,121
2,AU,44,18,Ep 18,2017-09-19,567000,8.7,28
4,SA,44,4,Ep 4,2011-03-17,NA,NA,NA
4,US,45,3,Ep 3,2002-03-13,20460000,7.7,125
2,AU,45,19,Ep 19,2017-09-24,570000,8.7,28
4,SA,45,5,Ep 5,2011-03-24,NA,NA,NA
4,US,46,4,Ep 4,2002-03-20,22810000,7.5,123
2,AU,46,20,Ep 20,2017-09-25,625000,8,26
4,SA,46,6,Ep 6,2011-03-31,NA,NA,NA
4,US,47,5,Ep 5,2002-03-28,20540000,7.9,123
2,AU,47,21,Ep 21,2017-09-26,625000,8.1,26
4,SA,47,7,Ep 7,2011-04-07,NA,NA,NA
4,US,48,6,Ep 6,2002-04-04,22170000,7.9,123
2,AU,48,22,Ep 22,2017-10-02,617000,7.9,26
4,SA,48,8,Ep 8,2011-04-14,NA,NA,NA
4,US,49,7,Ep 7,2002-04-11,19340000,8,127
2,AU,49,23,Ep 23,2017-10-03,595000,7.8,26
4,SA,49,9,Ep 9,2011-04-21,NA,NA,NA
4,US,50,8,Ep 8,2002-04-18,19880000,8,127
2,AU,50,24,Ep 24,2017-10-08,644000,7.6,26
4,SA,50,10,Ep 10,2011-04-28,NA,NA,NA
4,US,51,9,Recap,2002-04-24,12500000,6.8,100
2,AU,51,25,Ep 25,2017-10-09,669000,8.4,25
4,SA,51,11,Ep 11,2011-05-05,NA,NA,NA
4,US,52,10,Ep 10,2002-04-25,19420000,7.8,123
2,AU,52,26,Finale,2017-10-10,720000,8.2,27
4,SA,52,12,Ep 12,2011-05-12,NA,NA,NA
4,US,53,11,Ep 11,2002-05-02,19600000,7.7,123
3,AU,53,1,Ep 1,2018-08-01,716000,8.5,30
4,SA,53,13,Finale,2011-05-19,NA,NA,NA
4,US,54,12,Ep 12,2002-05-09,20830000,7.8,116
3,AU,54,2,Ep 2,2018-08-02,615000,8.4,21
5,SA,54,1,Ep 1,2014-01-19,NA,NA,NA
4,US,55,13,Ep 13,2002-05-16,19150000,8.1,119
3,AU,55,3,Ep 3,2018-08-06,592000,7.6,20
5,SA,55,2,Ep 2,2014-01-26,NA,NA,NA
4,US,56,14,Finale,2002-05-19,25870000,7.9,121
3,AU,56,4,Ep 4,2018-08-07,610000,7.9,19
5,SA,56,3,Ep 3,2014-02-02,NA,NA,NA
5,US,57,1,Ep 1,2002-09-19,23050000,7.4,131
3,AU,57,5,Ep 5,2018-08-08,620000,7.8,19
5,SA,57,4,Ep 4,2014-02-09,NA,NA,NA
5,US,58,2,Ep 2,2002-09-26,21720000,7.7,114
3,AU,58,6,Ep 6,2018-08-09,664000,8.2,19
5,SA,58,5,Ep 5,2014-02-16,NA,NA,NA
5,US,59,3,Ep 3,2002-10-03,21460000,7.7,116
3,AU,59,7,Ep 7,2018-08-13,651000,8,19
5,SA,59,6,Ep 6,2014-02-23,NA,NA,NA
5,US,60,4,Ep 4,2002-10-10,21160000,7.7,120
3,AU,60,8,Ep 8,2018-08-14,634000,8.5,21
5,SA,60,7,Ep 7,2014-03-02,NA,NA,NA
5,US,61,5,Ep 5,2002-10-17,22690000,7.7,117
3,AU,61,9,Ep 9,2018-08-20,666000,8.5,25
5,SA,61,8,Ep 8,2014-03-09,NA,NA,NA
5,US,62,6,Ep 6,2002-10-24,20940000,7.8,118
3,AU,62,10,Ep 10,2018-08-21,661000,7.6,19
